step,train_loss,val_loss,val_perplexity,learning_rate,tokens_per_sec,avg_seq_len,total_tokens,grad_norm,timestamp
0,12.364224,N/A,N/A,2.50e-07,0.00,116.00,232,N/A,2025-08-07 10:57:23
1,12.217840,N/A,N/A,5.00e-07,91.74,154.50,541,N/A,2025-08-07 10:57:29
2,12.246853,N/A,N/A,7.50e-07,79.36,208.50,958,N/A,2025-08-07 10:57:35
3,12.299238,N/A,N/A,1.00e-06,96.72,238.00,1434,N/A,2025-08-07 10:57:38
4,12.209558,N/A,N/A,1.25e-06,104.23,306.00,2046,N/A,2025-08-07 10:57:43
5,12.281543,N/A,N/A,1.50e-06,109.65,373.50,2793,N/A,2025-08-07 10:57:49
6,12.204842,N/A,N/A,1.75e-06,110.80,441.50,3676,N/A,2025-08-07 10:57:56
7,12.142479,N/A,N/A,2.00e-06,116.12,472.00,4620,N/A,2025-08-07 10:58:03
8,12.139498,N/A,N/A,2.25e-06,126.51,513.00,5646,N/A,2025-08-07 10:58:08
9,12.093349,N/A,N/A,2.50e-06,147.13,546.00,6738,N/A,2025-08-07 10:58:09
10,12.050252,N/A,N/A,2.75e-06,184.35,571.50,7881,10.6519,2025-08-07 10:58:11
11,12.051539,N/A,N/A,3.00e-06,236.59,613.00,9107,N/A,2025-08-07 10:58:12
12,11.992506,N/A,N/A,3.25e-06,275.93,638.00,10383,N/A,2025-08-07 10:58:12
13,11.846890,N/A,N/A,3.50e-06,343.62,691.50,11766,N/A,2025-08-07 10:58:13
14,11.932989,N/A,N/A,3.75e-06,442.72,713.50,13193,N/A,2025-08-07 10:58:14
15,11.811260,N/A,N/A,4.00e-06,644.17,743.50,14680,N/A,2025-08-07 10:58:15
16,11.671858,N/A,N/A,4.25e-06,980.78,889.00,16458,N/A,2025-08-07 10:58:16
17,11.655683,N/A,N/A,4.50e-06,1325.68,964.00,18386,N/A,2025-08-07 10:58:18
18,11.531116,N/A,N/A,4.75e-06,1199.20,116.00,18618,N/A,2025-08-07 10:58:20
19,11.456310,N/A,N/A,5.00e-06,1271.22,154.50,18927,N/A,2025-08-07 10:58:20
20,11.393135,N/A,N/A,5.25e-06,1257.55,208.50,19344,11.9975,2025-08-07 10:58:21
21,11.317555,N/A,N/A,5.50e-06,1227.81,238.00,19820,N/A,2025-08-07 10:58:21
22,11.207771,N/A,N/A,5.75e-06,1205.46,306.00,20432,N/A,2025-08-07 10:58:21
23,11.320867,N/A,N/A,6.00e-06,1225.52,373.50,21179,N/A,2025-08-07 10:58:22
24,11.127902,N/A,N/A,6.25e-06,1259.89,441.50,22062,N/A,2025-08-07 10:58:22
25,11.236063,N/A,N/A,6.50e-06,1353.53,472.00,23006,N/A,2025-08-07 10:58:22
26,10.989187,N/A,N/A,6.75e-06,1775.94,513.00,24032,N/A,2025-08-07 10:58:23
27,11.082603,N/A,N/A,7.00e-06,2261.89,546.00,25124,N/A,2025-08-07 10:58:23
28,10.943105,N/A,N/A,7.25e-06,2624.80,571.50,26267,N/A,2025-08-07 10:58:23
29,10.895035,N/A,N/A,7.50e-06,3003.45,613.00,27493,N/A,2025-08-07 10:58:24
30,10.974995,N/A,N/A,7.75e-06,2941.52,638.00,28769,6.4540,2025-08-07 10:58:24
31,10.620345,N/A,N/A,8.00e-06,3229.88,691.50,30152,N/A,2025-08-07 10:58:25
32,10.846970,N/A,N/A,8.25e-06,3457.04,713.50,31579,N/A,2025-08-07 10:58:25
33,10.753614,N/A,N/A,8.50e-06,3714.78,743.50,33066,N/A,2025-08-07 10:58:25
34,10.595367,N/A,N/A,8.75e-06,3953.60,889.00,34844,N/A,2025-08-07 10:58:25
35,10.535245,N/A,N/A,9.00e-06,3962.00,964.00,36772,N/A,2025-08-07 10:58:26
36,10.363214,N/A,N/A,9.25e-06,3493.61,116.00,37004,N/A,2025-08-07 10:58:27
37,10.590565,N/A,N/A,9.50e-06,3237.07,154.50,37313,N/A,2025-08-07 10:58:27
38,10.340677,N/A,N/A,9.75e-06,3074.71,208.50,37730,N/A,2025-08-07 10:58:27
39,10.190126,N/A,N/A,1.00e-05,3153.26,238.00,38206,N/A,2025-08-07 10:58:28
40,10.275659,N/A,N/A,1.03e-05,2897.44,306.00,38818,5.7384,2025-08-07 10:58:28
41,10.366383,N/A,N/A,1.05e-05,2687.15,373.50,39565,N/A,2025-08-07 10:58:28
42,10.303457,N/A,N/A,1.08e-05,2534.57,441.50,40448,N/A,2025-08-07 10:58:29
43,10.488050,N/A,N/A,1.10e-05,2365.98,472.00,41392,N/A,2025-08-07 10:58:29
44,10.238228,N/A,N/A,1.12e-05,2263.09,513.00,42418,N/A,2025-08-07 10:58:29
45,10.371466,N/A,N/A,1.15e-05,2134.82,546.00,43510,N/A,2025-08-07 10:58:30
46,10.188935,N/A,N/A,1.17e-05,2443.50,571.50,44653,N/A,2025-08-07 10:58:30
47,10.286960,N/A,N/A,1.20e-05,2688.00,613.00,45879,N/A,2025-08-07 10:58:30
48,10.399784,N/A,N/A,1.23e-05,2956.82,638.00,47155,N/A,2025-08-07 10:58:31
49,10.087559,N/A,N/A,1.25e-05,3263.75,691.50,48538,N/A,2025-08-07 10:58:31
50,10.289166,N/A,N/A,1.28e-05,3514.10,713.50,49965,4.2406,2025-08-07 10:58:32
51,10.226074,N/A,N/A,1.30e-05,3709.35,743.50,51452,N/A,2025-08-07 10:58:32
52,10.162674,N/A,N/A,1.33e-05,3836.69,889.00,53230,N/A,2025-08-07 10:58:32
53,10.112649,N/A,N/A,1.35e-05,4042.06,964.00,55158,N/A,2025-08-07 10:58:33
54,9.829405,N/A,N/A,1.38e-05,3654.16,116.00,55390,N/A,2025-08-07 10:58:33
55,10.041211,N/A,N/A,1.40e-05,3373.06,154.50,55699,N/A,2025-08-07 10:58:34
56,9.875899,N/A,N/A,1.43e-05,3253.23,208.50,56116,N/A,2025-08-07 10:58:34
57,9.759585,N/A,N/A,1.45e-05,3080.47,238.00,56592,N/A,2025-08-07 10:58:34
58,9.826159,N/A,N/A,1.48e-05,2917.78,306.00,57204,N/A,2025-08-07 10:58:35
59,9.934278,N/A,N/A,1.50e-05,2749.45,373.50,57951,N/A,2025-08-07 10:58:35
60,9.914160,N/A,N/A,1.52e-05,2570.61,441.50,58834,3.8464,2025-08-07 10:58:35
61,10.077231,N/A,N/A,1.55e-05,2505.20,472.00,59778,N/A,2025-08-07 10:58:36
62,9.875944,N/A,N/A,1.57e-05,2362.15,513.00,60804,N/A,2025-08-07 10:58:36
63,10.007398,N/A,N/A,1.60e-05,2211.02,546.00,61896,N/A,2025-08-07 10:58:36
64,9.817859,N/A,N/A,1.63e-05,2576.69,571.50,63039,N/A,2025-08-07 10:58:37
65,9.969553,N/A,N/A,1.65e-05,2768.15,613.00,64265,N/A,2025-08-07 10:58:37
66,10.060198,N/A,N/A,1.68e-05,2994.83,638.00,65541,N/A,2025-08-07 10:58:37
67,9.731483,N/A,N/A,1.70e-05,3312.15,691.50,66924,N/A,2025-08-07 10:58:38
68,9.925860,N/A,N/A,1.73e-05,3635.20,713.50,68351,N/A,2025-08-07 10:58:38
69,9.907689,N/A,N/A,1.75e-05,3942.73,743.50,69838,N/A,2025-08-07 10:58:38
70,9.885783,N/A,N/A,1.78e-05,4252.67,889.00,71616,3.2348,2025-08-07 10:58:39
71,9.847826,N/A,N/A,1.80e-05,4409.32,964.00,73544,N/A,2025-08-07 10:58:39
72,9.291150,N/A,N/A,1.82e-05,3981.89,116.00,73776,N/A,2025-08-07 10:58:40
73,9.456108,N/A,N/A,1.85e-05,3642.69,154.50,74085,N/A,2025-08-07 10:58:40
74,9.441097,N/A,N/A,1.87e-05,3492.27,208.50,74502,N/A,2025-08-07 10:58:40
75,9.355863,N/A,N/A,1.90e-05,3142.34,238.00,74978,N/A,2025-08-07 10:58:41
76,9.426317,N/A,N/A,1.93e-05,2989.96,306.00,75590,N/A,2025-08-07 10:58:41
77,9.577100,N/A,N/A,1.95e-05,2778.89,373.50,76337,N/A,2025-08-07 10:58:41
78,9.575347,N/A,N/A,1.97e-05,2532.13,441.50,77220,N/A,2025-08-07 10:58:42
79,9.718916,N/A,N/A,2.00e-05,2429.25,472.00,78164,N/A,2025-08-07 10:58:42
80,9.570571,N/A,N/A,2.03e-05,2276.16,513.00,79190,3.7857,2025-08-07 10:58:42
81,9.691020,N/A,N/A,2.05e-05,2093.51,546.00,80282,N/A,2025-08-07 10:58:43
82,9.460219,N/A,N/A,2.07e-05,2470.34,571.50,81425,N/A,2025-08-07 10:58:43
83,9.666612,N/A,N/A,2.10e-05,2754.05,613.00,82651,N/A,2025-08-07 10:58:43
84,9.739212,N/A,N/A,2.13e-05,3115.79,638.00,83927,N/A,2025-08-07 10:58:44
85,9.373300,N/A,N/A,2.15e-05,3395.96,691.50,85310,N/A,2025-08-07 10:58:44
86,9.615879,N/A,N/A,2.18e-05,3725.09,713.50,86737,N/A,2025-08-07 10:58:44
87,9.580174,N/A,N/A,2.20e-05,4184.84,743.50,88224,N/A,2025-08-07 10:58:45
88,9.583472,N/A,N/A,2.22e-05,4261.43,889.00,90002,N/A,2025-08-07 10:58:45
89,9.549655,N/A,N/A,2.25e-05,4352.46,964.00,91930,N/A,2025-08-07 10:58:46
90,8.369444,N/A,N/A,2.28e-05,3932.38,116.00,92162,2.8532,2025-08-07 10:58:46
91,8.619691,N/A,N/A,2.30e-05,3671.99,154.50,92471,N/A,2025-08-07 10:58:46
92,8.852893,N/A,N/A,2.32e-05,3483.74,208.50,92888,N/A,2025-08-07 10:58:47
93,8.767512,N/A,N/A,2.35e-05,3382.87,238.00,93364,N/A,2025-08-07 10:58:47
94,8.885570,N/A,N/A,2.38e-05,3186.08,306.00,93976,N/A,2025-08-07 10:58:47
95,9.117198,N/A,N/A,2.40e-05,2976.42,373.50,94723,N/A,2025-08-07 10:58:48
96,9.122894,N/A,N/A,2.42e-05,2806.06,441.50,95606,N/A,2025-08-07 10:58:48
97,9.277791,N/A,N/A,2.45e-05,2735.38,472.00,96550,N/A,2025-08-07 10:58:48
98,9.160445,N/A,N/A,2.48e-05,2497.12,513.00,97576,N/A,2025-08-07 10:58:49
99,9.274389,N/A,N/A,2.50e-05,2384.04,546.00,98668,N/A,2025-08-07 10:58:49
100,8.996897,N/A,N/A,2.53e-05,2701.09,571.50,99811,4.6257,2025-08-07 10:58:49
101,9.260324,N/A,N/A,2.55e-05,879.74,613.00,101037,N/A,2025-08-07 10:58:56
102,9.333231,N/A,N/A,2.58e-05,963.62,638.00,102313,N/A,2025-08-07 10:58:57
103,8.926756,N/A,N/A,2.60e-05,1045.58,691.50,103696,N/A,2025-08-07 10:58:57
104,9.233203,N/A,N/A,2.62e-05,1125.94,713.50,105123,N/A,2025-08-07 10:58:57
105,9.171040,N/A,N/A,2.65e-05,1195.16,743.50,106610,N/A,2025-08-07 10:58:58
106,9.241520,N/A,N/A,2.67e-05,1286.84,889.00,108388,N/A,2025-08-07 10:58:58
107,9.211740,N/A,N/A,2.70e-05,1372.80,964.00,110316,N/A,2025-08-07 10:58:59
108,7.014531,N/A,N/A,2.72e-05,1257.23,116.00,110548,N/A,2025-08-07 10:58:59
109,7.777179,N/A,N/A,2.75e-05,1183.35,154.50,110857,N/A,2025-08-07 10:59:00
110,8.121328,N/A,N/A,2.78e-05,3337.70,208.50,111274,12.8793,2025-08-07 10:59:00
111,8.174436,N/A,N/A,2.80e-05,3115.61,238.00,111750,N/A,2025-08-07 10:59:00
112,8.304624,N/A,N/A,2.83e-05,2930.47,306.00,112362,N/A,2025-08-07 10:59:01
